phon,gen
akOte,m
aku,m
apØpʁɛ,m
apik,m
apla,m
apʁOpo,m
avalwaʁ,m
a,m
aa,m
abaka,m
abɛsl1g,m
abɛs,f
abɛsəm1,m
abalɔn,m
ab1d2,m
ab1dOnœʁ,m
abak,m
abaʒuʁ,m
abas2,m
aba,m
abataʒ,m
abatəm1,m
abatœʁ,m
abatwaʁ,m
abaty,m
abatyʁ,f
abasjal,f
abEi,f
abEse,m
apsɛ,m
abdikasj2,f
abdo,m
abdOmɛn,m
#DEF#,m
abdyksj2,f
abEsEdɛʁ,m
abɛj,f
abɛʁ,m
abEʁasj2,f
abEtisəm1,m
abim,m
abʒEksj2,f
abʒyʁasj2,f
ablatif,m
abl,m
ablysj2,f
abnEgasj2,f
abwam1,m
abOlisj2,f
abOminasj2,f
ab2d1s,f
abOne,m
abOne,f
abɔʁ,m
abɔʁdaʒ,m
abɔʁnəm1,m
abuʃəm1,m
abuli,f
abuna,m
abu,m
abʁazif,m
abʁazj2,f
abʁaksas,m
abʁEʒe,m
abʁØvaʒ,m
abʁØvwaʁ,m
abʁEvjasj2,f
abʁiʁəfyʒ,m
abʁibys,m
abʁiko,m
abʁikOtje,m
abʁikOtin,f
abʁOgasj2,f
abʁypt,m
abʁyti,m
abʁyti,f
abʁytisəm1,m
abʁytisœʁ,m
apsis,f
apsisj2,f
aps1,m
aps1t,f
aps1tEizm,m
apsid,f
apsidjɔl,f
aps3t,f
apsOly,m
apsOlysj2,f
apsOlytizm,m
apsɔʁb1,m
apsɔʁbœʁ,m
apsut,f
apst1sj2,f
apstin1s,f
apstʁaksj2,f
apstʁɛ,m
apsyʁd,m
aby,m
abyzœʁ,m
abis,m
abis3,m
abisinjɛn,f
akadEmisj3,m
akadEmi,f
akadEmizm,m
akadj3,m
akadjɛn,f
akaʁj3,m
akabləm1,m
akastijaʒ,m
aksElEʁatœʁ,m
aksElEʁasj2,f
aksElEʁe,m
aks1,m
aks1tœʁ,m
aks1tɥasj2,f
aksEpt1,m
aksEptasj2,f
aksEpsj2,f
aksɛ,m
aksEsœʁ,m
aksEsibilite,f
aksEsj2,f
aksEsit,m
aksEswaʁ,m
aksid1te,m
aklamasj2,f
aklimatasj2,f
aklimatəm1,m
akw3t1s,f
akOlad,f
akɔləm1,m
akOmOdasj2,f
akOmɔdəm1,m
ak2paɲatœʁ,m
ak2paɲatʁis,f
ak2paɲəm1,m
ak2pli,m
ak2plisəm1,m
akɔʁ,m
#DEF#,f
akɔʁde,m
akɔʁde,f
akɔʁdəm1,m
akɔʁde2,m
akɔʁdo,m
akOstaʒ,m
akOtwaʁ,m
akuʃe,f
akuʃəm1,m
akuʃœʁ,m
akuʃøz,f
akudwaʁ,m
akupləm1,m
akutʁəm1,m
akutym1s,f
akʁa,m
akʁEditasj2,f
akʁEdite,m
akʁEditif,m
akʁEsj2,f
akʁo,m
akʁOʃaʒ,m
akʁɔʃkœʁ,m
akʁupisəm1,m
akʁy,f
aky,m
akyltyʁasj2,f
akymylatœʁ,m
akyzatœʁ,m
akyzatif,m
akyzatʁis,f
akyze,m
ɛs,m
asEfal,m
asɛʁbite,m
asEtabylɔm,m
asEtat,m
asEtɔn,f
asEtilkOlin,f
asEtilɛn,m
aʃal1daʒ,m
aʃaʁ,m
aʃa,m
aʃ,f
akElɛm,m
aʃəminəm1,m
aʃətøz,f
aʃɛvəm1,m
akile,f
ak2dʁOplazi,f
aʃɔpəm1,m
asiddʒaz,m
asidite,f
asidOsEtoz,f
asidoz,f
asje,m
