Form,Alt Form,Predicted Gender,True Gender,Class Probabilities,Set
té,te,m,m,"[('é', {'f': 0.21532738208770752, 'm': 0.7846726179122925}), ('t', {'f': 0.0773429125547409, 'm': 0.9226570725440979})]",test
bi,bi,m,m,"[('i', {'f': 0.15706771612167358, 'm': 0.8429323434829712}), ('b', {'f': 0.009633110836148262, 'm': 0.9903669357299805})]",test
an,1,m,m,"[('n', {'f': 0.3618972599506378, 'm': 0.6381027102470398}), ('a', {'f': 0.07979101687669754, 'm': 0.9202090501785278})]",test
as,as,m,m,"[('s', {'f': 0.12935423851013184, 'm': 0.8706458210945129}), ('a', {'f': 0.04377080500125885, 'm': 0.9562292098999023})]",test
pot,po,m,m,"[('t', {'f': 0.14602802693843842, 'm': 0.8539720177650452}), ('o', {'f': 0.05881676822900772, 'm': 0.9411832094192505}), ('p', {'f': 0.015084909275174141, 'm': 0.9849151372909546})]",test
kid,kid,m,m,"[('d', {'f': 0.4215891361236572, 'm': 0.5784108638763428}), ('i', {'f': 0.2581382691860199, 'm': 0.7418617010116577}), ('k', {'f': 0.020587485283613205, 'm': 0.9794124364852905})]",test
mac,mak,m,m,"[('c', {'f': 0.21789169311523438, 'm': 0.7821083068847656}), ('a', {'f': 0.06293901801109314, 'm': 0.9370609521865845}), ('m', {'f': 0.09691666066646576, 'm': 0.903083324432373})]",test
kil,kil,m,m,"[('l', {'f': 0.4161078929901123, 'm': 0.5838921070098877}), ('i', {'f': 0.039683226495981216, 'm': 0.9603167772293091}), ('k', {'f': 0.005566383711993694, 'm': 0.994433581829071})]",test
max,maks,m,m,"[('x', {'f': 0.3961098790168762, 'm': 0.6038901209831238}), ('a', {'f': 0.1064235270023346, 'm': 0.893576443195343}), ('m', {'f': 0.15853670239448547, 'm': 0.8414632678031921})]",test
nem,nɛm,m,m,"[('m', {'f': 0.40836524963378906, 'm': 0.5916347503662109}), ('e', {'f': 0.06268320232629776, 'm': 0.9373167157173157}), ('n', {'f': 0.04103681817650795, 'm': 0.95896315574646})]",test
mer,mɛʁ,m,f,"[('r', {'f': 0.25047123432159424, 'm': 0.7495287656784058}), ('e', {'f': 0.17810170352458954, 'm': 0.8218982815742493}), ('m', {'f': 0.10092754662036896, 'm': 0.8990724682807922})]",test
zen,zɛn,m,m,"[('n', {'f': 0.3618972599506378, 'm': 0.6381027102470398}), ('e', {'f': 0.13499487936496735, 'm': 0.8650051355361938}), ('z', {'f': 0.06700803339481354, 'm': 0.9329919219017029})]",test
mec,mɛk,m,m,"[('c', {'f': 0.21789169311523438, 'm': 0.7821083068847656}), ('e', {'f': 0.08944246917963028, 'm': 0.9105575680732727}), ('m', {'f': 0.17226411402225494, 'm': 0.8277358412742615})]",test
tir,tiʁ,m,m,"[('r', {'f': 0.25047123432159424, 'm': 0.7495287656784058}), ('i', {'f': 0.06167031452059746, 'm': 0.9383296370506287}), ('t', {'f': 0.009355209767818451, 'm': 0.9906448125839233})]",test
suc,syk,m,m,"[('c', {'f': 0.21789169311523438, 'm': 0.7821083068847656}), ('u', {'f': 0.21964170038700104, 'm': 0.7803582549095154}), ('s', {'f': 0.03369138762354851, 'm': 0.96630859375})]",test
mur,myʁ,m,m,"[('r', {'f': 0.25047123432159424, 'm': 0.7495287656784058}), ('u', {'f': 0.13897423446178436, 'm': 0.8610257506370544}), ('m', {'f': 0.12847444415092468, 'm': 0.8715255856513977})]",test
