Form,Alt Form,Predicted Gender,True Gender,Class Probabilities,Set
bi,bi,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('i', {'f': 0.026563333347439766, 'm': 0.9734366536140442})]",test
té,te,f,m,"[('t', {'f': 0.024667123332619667, 'm': 0.9753329157829285}), ('é', {'f': 0.9829697608947754, 'm': 0.017030183225870132})]",test
as,as,m,m,"[('a', {'f': 0.8042901754379272, 'm': 0.19570985436439514}), ('s', {'f': 0.046079009771347046, 'm': 0.9539210200309753})]",test
an,1,m,m,"[('a', {'f': 0.8042901754379272, 'm': 0.19570985436439514}), ('n', {'f': 0.0013957421761006117, 'm': 0.9986042380332947})]",test
nem,nɛm,m,m,"[('n', {'f': 0.012427196837961674, 'm': 0.9875727891921997}), ('e', {'f': 0.7049206495285034, 'm': 0.2950793504714966}), ('m', {'f': 0.0070649622939527035, 'm': 0.9929350018501282})]",test
bis,bis,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('i', {'f': 0.026563333347439766, 'm': 0.9734366536140442}), ('s', {'f': 0.010765202343463898, 'm': 0.9892347455024719})]",test
ara,aʁa,m,m,"[('a', {'f': 0.8042901754379272, 'm': 0.19570985436439514}), ('r', {'f': 0.006778637878596783, 'm': 0.9932214021682739}), ('a', {'f': 0.4606132507324219, 'm': 0.5393866896629333})]",test
bal,bal,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('a', {'f': 0.5108013153076172, 'm': 0.48919862508773804}), ('l', {'f': 0.003971671685576439, 'm': 0.9960283041000366})]",test
bar,baʁ,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('a', {'f': 0.5108013153076172, 'm': 0.48919862508773804}), ('r', {'f': 0.002348422072827816, 'm': 0.9976516366004944})]",test
hun,4,m,m,"[('h', {'f': 0.13247181475162506, 'm': 0.8675282001495361}), ('u', {'f': 0.02641104720532894, 'm': 0.9735889434814453}), ('n', {'f': 0.0024459126871079206, 'm': 0.9975541234016418})]",test
nef,nɛf,m,f,"[('n', {'f': 0.012427196837961674, 'm': 0.9875727891921997}), ('e', {'f': 0.7049206495285034, 'm': 0.2950793504714966}), ('f', {'f': 0.01096900925040245, 'm': 0.9890310168266296})]",test
zen,zɛn,m,m,"[('z', {'f': 0.10880200564861298, 'm': 0.8911979794502258}), ('e', {'f': 0.08328565955162048, 'm': 0.9167143106460571}), ('n', {'f': 0.0034945004153996706, 'm': 0.9965054988861084})]",test
mou,mu,m,m,"[('m', {'f': 0.1316004991531372, 'm': 0.8683995008468628}), ('o', {'f': 0.08861862123012543, 'm': 0.9113813042640686}), ('u', {'f': 0.0030023695435374975, 'm': 0.996997594833374})]",test
rue,ʁy,f,f,"[('r', {'f': 0.04543609917163849, 'm': 0.9545638561248779}), ('u', {'f': 0.01948932372033596, 'm': 0.9805106520652771}), ('e', {'f': 0.9878553748130798, 'm': 0.012144606560468674})]",test
taf,taf,m,m,"[('t', {'f': 0.024667123332619667, 'm': 0.9753329157829285}), ('a', {'f': 0.8562064170837402, 'm': 0.14379358291625977}), ('f', {'f': 0.002471243729814887, 'm': 0.9975287318229675})]",test
ire,iʁ,m,f,"[('i', {'f': 0.03429368883371353, 'm': 0.9657063484191895}), ('r', {'f': 0.027406787499785423, 'm': 0.9725932478904724}), ('e', {'f': 0.33260518312454224, 'm': 0.6673948764801025})]",test
roi,ʁwa,m,m,"[('r', {'f': 0.04543609917163849, 'm': 0.9545638561248779}), ('o', {'f': 0.02457413449883461, 'm': 0.9754258990287781}), ('i', {'f': 0.006493623834103346, 'm': 0.9935064315795898})]",test
tri,tʁi,m,m,"[('t', {'f': 0.024667123332619667, 'm': 0.9753329157829285}), ('r', {'f': 0.2572518587112427, 'm': 0.7427481412887573}), ('i', {'f': 0.017282351851463318, 'm': 0.9827176928520203})]",test
gon,gɔn,m,m,"[('g', {'f': 0.0452614389359951, 'm': 0.9547385573387146}), ('o', {'f': 0.00916321761906147, 'm': 0.9908367395401001}), ('n', {'f': 0.015010532923042774, 'm': 0.9849895238876343})]",test
sel,sɛl,m,m,"[('s', {'f': 0.051552824676036835, 'm': 0.9484471082687378}), ('e', {'f': 0.9940012097358704, 'm': 0.005998777691274881}), ('l', {'f': 0.015235538594424725, 'm': 0.9847645163536072})]",test
sac,sak,m,m,"[('s', {'f': 0.051552824676036835, 'm': 0.9484471082687378}), ('a', {'f': 0.7645266652107239, 'm': 0.2354733645915985}), ('c', {'f': 0.03921462595462799, 'm': 0.960785448551178})]",test
clé,kle,m,f,"[('c', {'f': 0.05024424567818642, 'm': 0.9497557878494263}), ('l', {'f': 0.010327835567295551, 'm': 0.9896721839904785}), ('é', {'f': 0.02335079200565815, 'm': 0.9766492247581482})]",test
cap,kap,m,m,"[('c', {'f': 0.05024424567818642, 'm': 0.9497557878494263}), ('a', {'f': 0.5353248119354248, 'm': 0.46467524766921997}), ('p', {'f': 0.040620289742946625, 'm': 0.9593797326087952})]",test
bip,bip,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('i', {'f': 0.026563333347439766, 'm': 0.9734366536140442}), ('p', {'f': 0.008155357092618942, 'm': 0.9918445944786072})]",test
jet,dʒɛt,m,m,"[('j', {'f': 0.3676781952381134, 'm': 0.632321834564209}), ('e', {'f': 0.6690768003463745, 'm': 0.3309231698513031}), ('t', {'f': 0.018901696428656578, 'm': 0.9810982942581177})]",test
