Form,Alt Form,Predicted Gender,True Gender,Class Probabilities,Set
o,eau,m,f,"[('o', {'f': 0.43163761496543884, 'm': 0.5683624744415283})]",test
1,an,m,m,"[('1', {'f': 0.3533245623111725, 'm': 0.6466754674911499})]",test
u,houx,m,m,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436})]",test
ɛ,ais,m,m,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915})]",test
ɛ,haie,m,m,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915})]",test
4,hun,m,m,"[('4', {'f': 0.35284996032714844, 'm': 0.6471500992774963})]",test
ɛ,ais,m,f,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915})]",test
ɛ,haie,m,f,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915})]",test
uj,houille,f,f,"[('j', {'f': 0.12872321903705597, 'm': 0.87127685546875}), ('u', {'f': 0.9293713569641113, 'm': 0.07062867283821106})]",test
iv,ive,f,f,"[('v', {'f': 0.8513452410697937, 'm': 0.1486547589302063}), ('i', {'f': 0.7523532509803772, 'm': 0.2476467341184616})]",test
at,hâte,f,f,"[('t', {'f': 0.3858436942100525, 'm': 0.6141563057899475}), ('a', {'f': 0.7246471643447876, 'm': 0.2753528952598572})]",test
Om,home,m,m,"[('m', {'f': 0.5900589823722839, 'm': 0.40994101762771606}), ('O', {'f': 0.4098533093929291, 'm': 0.5901466608047485})]",test
ɥi,huis,m,m,"[('i', {'f': 0.33092767000198364, 'm': 0.6690723299980164}), ('ɥ', {'f': 0.38268333673477173, 'm': 0.6173166632652283})]",test
œj,oeil,m,m,"[('j', {'f': 0.12872321903705597, 'm': 0.87127685546875}), ('œ', {'f': 0.1152375116944313, 'm': 0.8847624659538269})]",test
ɔm,homme,m,m,"[('m', {'f': 0.5900589823722839, 'm': 0.40994101762771606}), ('ɔ', {'f': 0.3878921568393707, 'm': 0.6121078729629517})]",test
t2,thon,m,m,"[('2', {'f': 0.5643630623817444, 'm': 0.435636967420578}), ('t', {'f': 0.13116006553173065, 'm': 0.8688399195671082})]",test
kø,queue,m,f,"[('ø', {'f': 0.18087026476860046, 'm': 0.8191297650337219}), ('k', {'f': 0.011855638585984707, 'm': 0.9881442785263062})]",test
yp,huppe,f,f,"[('p', {'f': 0.5777840614318848, 'm': 0.4222159683704376}), ('y', {'f': 0.5666671395301819, 'm': 0.4333328306674957})]",test
po,pot,m,m,"[('o', {'f': 0.43163761496543884, 'm': 0.5683624744415283}), ('p', {'f': 0.17594502866268158, 'm': 0.824055016040802})]",test
du,doux,m,m,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('d', {'f': 0.2796942889690399, 'm': 0.7203056812286377})]",test
2t,honte,f,f,"[('t', {'f': 0.3858436942100525, 'm': 0.6141563057899475}), ('2', {'f': 0.7368553280830383, 'm': 0.26314467191696167})]",test
bi,bi,m,m,"[('i', {'f': 0.33092767000198364, 'm': 0.6690723299980164}), ('b', {'f': 0.1747959405183792, 'm': 0.825204074382782})]",test
ki,chi,m,m,"[('i', {'f': 0.33092767000198364, 'm': 0.6690723299980164}), ('k', {'f': 0.05833345279097557, 'm': 0.9416666030883789})]",test
kɛ,quai,m,m,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915}), ('k', {'f': 0.11374243348836899, 'm': 0.8862575888633728})]",test
ʒu,joue,m,f,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('ʒ', {'f': 0.15979298949241638, 'm': 0.8402069807052612})]",test
2z,onze,f,m,"[('z', {'f': 0.1610153466463089, 'm': 0.8389846086502075}), ('2', {'f': 0.8184770941734314, 'm': 0.18152284622192383})]",test
iʁ,ire,f,f,"[('ʁ', {'f': 0.5142263770103455, 'm': 0.48577365279197693}), ('i', {'f': 0.7011591196060181, 'm': 0.29884088039398193})]",test
ʁ3,rain,m,m,"[('3', {'f': 0.24239523708820343, 'm': 0.7576047778129578}), ('ʁ', {'f': 0.12449432909488678, 'm': 0.8755056858062744})]",test
ʃu,chou,m,m,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('ʃ', {'f': 0.08213243633508682, 'm': 0.9178675413131714})]",test
ʒy,jus,m,m,"[('y', {'f': 0.4163230061531067, 'm': 0.5836769938468933}), ('ʒ', {'f': 0.05902916193008423, 'm': 0.9409708380699158})]",test
p2,pont,m,m,"[('2', {'f': 0.5643630623817444, 'm': 0.435636967420578}), ('p', {'f': 0.06654351204633713, 'm': 0.9334564208984375})]",test
so,saut,m,m,"[('o', {'f': 0.43163761496543884, 'm': 0.5683624744415283}), ('s', {'f': 0.2631475329399109, 'm': 0.7368524670600891})]",test
tu,tout,m,m,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('t', {'f': 0.3676352798938751, 'm': 0.6323646903038025})]",test
mu,mou,f,m,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('m', {'f': 0.645582377910614, 'm': 0.3544176518917084})]",test
mu,moue,f,m,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('m', {'f': 0.645582377910614, 'm': 0.3544176518917084})]",test
pi,pie,m,f,"[('i', {'f': 0.33092767000198364, 'm': 0.6690723299980164}), ('p', {'f': 0.240918830037117, 'm': 0.7590811252593994})]",test
vø,voeu,m,m,"[('ø', {'f': 0.18087026476860046, 'm': 0.8191297650337219}), ('v', {'f': 0.01997063308954239, 'm': 0.9800293445587158})]",test
lo,los,m,m,"[('o', {'f': 0.43163761496543884, 'm': 0.5683624744415283}), ('l', {'f': 0.09331218898296356, 'm': 0.9066877365112305})]",test
pu,pou,m,m,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('p', {'f': 0.37125906348228455, 'm': 0.6287409067153931})]",test
ik,hic,m,m,"[('k', {'f': 0.42228180170059204, 'm': 0.577718198299408}), ('i', {'f': 0.18270033597946167, 'm': 0.8172996044158936})]",test
b3,bain,m,m,"[('3', {'f': 0.24239523708820343, 'm': 0.7576047778129578}), ('b', {'f': 0.03294403851032257, 'm': 0.9670559763908386})]",test
aʁ,are,f,m,"[('ʁ', {'f': 0.5142263770103455, 'm': 0.48577365279197693}), ('a', {'f': 0.6709359884262085, 'm': 0.3290640115737915})]",test
gɛ,gay,m,m,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915}), ('g', {'f': 0.24360007047653198, 'm': 0.7563998699188232})]",test
œf,oeuf,m,m,"[('f', {'f': 0.5610143542289734, 'm': 0.4389856457710266}), ('œ', {'f': 0.41041451692581177, 'm': 0.5895854830741882})]",test
as,as,f,m,"[('s', {'f': 0.5474900007247925, 'm': 0.4525099992752075}), ('a', {'f': 0.6992078423500061, 'm': 0.3007921874523163})]",test
1p,hampe,f,f,"[('p', {'f': 0.5777840614318848, 'm': 0.4222159683704376}), ('1', {'f': 0.5079720616340637, 'm': 0.4920279383659363})]",test
v3,vin,m,m,"[('3', {'f': 0.24239523708820343, 'm': 0.7576047778129578}), ('v', {'f': 0.1377299278974533, 'm': 0.8622700572013855})]",test
aj,ail,m,m,"[('j', {'f': 0.12872321903705597, 'm': 0.87127685546875}), ('a', {'f': 0.12719258666038513, 'm': 0.8728074431419373})]",test
ɛn,aine,f,f,"[('n', {'f': 0.5614370703697205, 'm': 0.43856292963027954}), ('ɛ', {'f': 0.5580256581306458, 'm': 0.4419742822647095})]",test
ʁy,rue,m,f,"[('y', {'f': 0.4163230061531067, 'm': 0.5836769938468933}), ('ʁ', {'f': 0.3273831307888031, 'm': 0.6726168394088745})]",test
lø,leu,m,m,"[('ø', {'f': 0.18087026476860046, 'm': 0.8191297650337219}), ('l', {'f': 0.014183109626173973, 'm': 0.9858168959617615})]",test
ʁu,roue,f,f,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('ʁ', {'f': 0.5295378565788269, 'm': 0.47046220302581787})]",test
mɛ,maie,m,f,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915}), ('m', {'f': 0.2066509872674942, 'm': 0.7933490872383118})]",test
ʁi,ris,m,m,"[('i', {'f': 0.33092767000198364, 'm': 0.6690723299980164}), ('ʁ', {'f': 0.43560338020324707, 'm': 0.5643966197967529})]",test
ka,cas,m,m,"[('a', {'f': 0.3019506335258484, 'm': 0.6980493068695068}), ('k', {'f': 0.2954981029033661, 'm': 0.7045018672943115})]",test
mu,mou,f,f,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('m', {'f': 0.645582377910614, 'm': 0.3544176518917084})]",test
mu,moue,f,f,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('m', {'f': 0.645582377910614, 'm': 0.3544176518917084})]",test
dɛ,dais,m,m,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915}), ('d', {'f': 0.03307751566171646, 'm': 0.9669225215911865})]",test
s2,son,m,m,"[('2', {'f': 0.5643630623817444, 'm': 0.435636967420578}), ('s', {'f': 0.2771894335746765, 'm': 0.7228105068206787})]",test
om,heaume,f,m,"[('m', {'f': 0.5900589823722839, 'm': 0.40994101762771606}), ('o', {'f': 0.7286462783813477, 'm': 0.27135375142097473})]",test
bɛ,baie,m,f,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915}), ('b', {'f': 0.13047033548355103, 'm': 0.8695296049118042})]",test
ɲ2,gnon,m,m,"[('2', {'f': 0.5643630623817444, 'm': 0.435636967420578}), ('ɲ', {'f': 0.025026969611644745, 'm': 0.9749730825424194})]",test
te,té,m,m,"[('e', {'f': 0.17010840773582458, 'm': 0.829891562461853}), ('t', {'f': 0.15193769335746765, 'm': 0.84806227684021})]",test
vi,vie,m,f,"[('i', {'f': 0.33092767000198364, 'm': 0.6690723299980164}), ('v', {'f': 0.2727566957473755, 'm': 0.7272433638572693})]",test
uʃ,ouche,f,f,"[('ʃ', {'f': 0.5401440858840942, 'm': 0.4598558843135834}), ('u', {'f': 0.9284932613372803, 'm': 0.07150670140981674})]",test
d3,daim,m,m,"[('3', {'f': 0.24239523708820343, 'm': 0.7576047778129578}), ('d', {'f': 0.02645404264330864, 'm': 0.9735459089279175})]",test
bu,bout,m,m,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('b', {'f': 0.10498340427875519, 'm': 0.8950165510177612})]",test
ʃɛ,chai,m,m,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915}), ('ʃ', {'f': 0.11052427440881729, 'm': 0.8894757032394409})]",test
ʁɛ,rai,m,m,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915}), ('ʁ', {'f': 0.19459956884384155, 'm': 0.8054004311561584})]",test
ɛz,aise,f,f,"[('z', {'f': 0.1610153466463089, 'm': 0.8389846086502075}), ('ɛ', {'f': 0.59038907289505, 'm': 0.40961092710494995})]",test
ba,bas,m,m,"[('a', {'f': 0.3019506335258484, 'm': 0.6980493068695068}), ('b', {'f': 0.12052445858716965, 'm': 0.8794755339622498})]",test
pʁi,prix,m,m,"[('i', {'f': 0.33092767000198364, 'm': 0.6690723299980164}), ('ʁ', {'f': 0.43560338020324707, 'm': 0.5643966197967529}), ('p', {'f': 0.27423858642578125, 'm': 0.7257614731788635})]",test
dyn,dune,f,f,"[('n', {'f': 0.5614370703697205, 'm': 0.43856292963027954}), ('y', {'f': 0.6739932298660278, 'm': 0.32600677013397217}), ('d', {'f': 0.7347489595413208, 'm': 0.26525112986564636})]",test
gaʃ,gâche,m,f,"[('ʃ', {'f': 0.5401440858840942, 'm': 0.4598558843135834}), ('a', {'f': 0.4840681552886963, 'm': 0.5159318447113037}), ('g', {'f': 0.288984090089798, 'm': 0.7110159397125244})]",test
kuʃ,couche,f,f,"[('ʃ', {'f': 0.5401440858840942, 'm': 0.4598558843135834}), ('u', {'f': 0.9284932613372803, 'm': 0.07150670140981674}), ('k', {'f': 0.8905935883522034, 'm': 0.10940638184547424})]",test
pup,poupe,f,f,"[('p', {'f': 0.5777840614318848, 'm': 0.4222159683704376}), ('u', {'f': 0.7819706201553345, 'm': 0.21802933514118195}), ('p', {'f': 0.6578404307365417, 'm': 0.34215959906578064})]",test
fwa,foi,m,f,"[('a', {'f': 0.3019506335258484, 'm': 0.6980493068695068}), ('w', {'f': 0.250623494386673, 'm': 0.7493765354156494}), ('f', {'f': 0.25523844361305237, 'm': 0.74476158618927})]",test
asm,asthme,m,m,"[('m', {'f': 0.5900589823722839, 'm': 0.40994101762771606}), ('s', {'f': 0.21130861341953278, 'm': 0.7886913418769836}), ('a', {'f': 0.24326092004776, 'm': 0.75673907995224})]",test
ʃos,chausse,m,f,"[('s', {'f': 0.5474900007247925, 'm': 0.4525099992752075}), ('o', {'f': 0.6206050515174866, 'm': 0.3793949484825134}), ('ʃ', {'f': 0.1614121049642563, 'm': 0.8385879397392273})]",test
van,van,f,m,"[('n', {'f': 0.5614370703697205, 'm': 0.43856292963027954}), ('a', {'f': 0.7083975076675415, 'm': 0.2916024923324585}), ('v', {'f': 0.938908040523529, 'm': 0.06109200790524483})]",test
sot,saute,f,f,"[('t', {'f': 0.3858436942100525, 'm': 0.6141563057899475}), ('o', {'f': 0.7485467195510864, 'm': 0.2514532804489136}), ('s', {'f': 0.5883589386940002, 'm': 0.41164109110832214})]",test
kle,clé,m,f,"[('e', {'f': 0.17010840773582458, 'm': 0.829891562461853}), ('l', {'f': 0.09153985232114792, 'm': 0.9084600806236267}), ('k', {'f': 0.32354655861854553, 'm': 0.6764534711837769})]",test
pjø,pieu,m,m,"[('ø', {'f': 0.18087026476860046, 'm': 0.8191297650337219}), ('j', {'f': 0.003210211405530572, 'm': 0.9967897534370422}), ('p', {'f': 0.0011703422060236335, 'm': 0.9988296627998352})]",test
pɛl,pelle,f,f,"[('l', {'f': 0.4393223524093628, 'm': 0.5606776475906372}), ('ɛ', {'f': 0.3986324071884155, 'm': 0.6013675928115845}), ('p', {'f': 0.7782713174819946, 'm': 0.22172871232032776})]",test
1vi,envie,m,f,"[('i', {'f': 0.33092767000198364, 'm': 0.6690723299980164}), ('v', {'f': 0.2727566957473755, 'm': 0.7272433638572693}), ('1', {'f': 0.22852811217308044, 'm': 0.7714718580245972})]",test
kal,cale,m,f,"[('l', {'f': 0.4393223524093628, 'm': 0.5606776475906372}), ('a', {'f': 0.45286881923675537, 'm': 0.5471311807632446}), ('k', {'f': 0.48242828249931335, 'm': 0.517571747303009})]",test
kyb,cube,m,m,"[('b', {'f': 0.4940345883369446, 'm': 0.5059653520584106}), ('y', {'f': 0.28711408376693726, 'm': 0.7128859162330627}), ('k', {'f': 0.2553601562976837, 'm': 0.7446398735046387})]",test
pli,pli,m,f,"[('i', {'f': 0.33092767000198364, 'm': 0.6690723299980164}), ('l', {'f': 0.37193089723587036, 'm': 0.6280691027641296}), ('p', {'f': 0.30586332082748413, 'm': 0.6941366791725159})]",test
pli,plie,m,f,"[('i', {'f': 0.33092767000198364, 'm': 0.6690723299980164}), ('l', {'f': 0.37193089723587036, 'm': 0.6280691027641296}), ('p', {'f': 0.30586332082748413, 'm': 0.6941366791725159})]",test
gnu,gnou,m,m,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('n', {'f': 0.3053567707538605, 'm': 0.6946431994438171}), ('g', {'f': 0.11868113279342651, 'm': 0.8813188672065735})]",test
ʃw1,chouan,m,m,"[('1', {'f': 0.3533245623111725, 'm': 0.6466754674911499}), ('w', {'f': 0.08452960848808289, 'm': 0.9154703617095947}), ('ʃ', {'f': 0.012314530089497566, 'm': 0.9876854419708252})]",test
g1g,gangue,f,f,"[('g', {'f': 0.5994905233383179, 'm': 0.40050947666168213}), ('1', {'f': 0.7280876040458679, 'm': 0.27191242575645447}), ('g', {'f': 0.5881586670875549, 'm': 0.41184139251708984})]",test
byt,but,f,m,"[('t', {'f': 0.3858436942100525, 'm': 0.6141563057899475}), ('y', {'f': 0.7427498698234558, 'm': 0.2572501003742218}), ('b', {'f': 0.5678839683532715, 'm': 0.43211600184440613})]",test
sap,sape,f,f,"[('p', {'f': 0.5777840614318848, 'm': 0.4222159683704376}), ('a', {'f': 0.42283427715301514, 'm': 0.5771656632423401}), ('s', {'f': 0.5760371088981628, 'm': 0.4239629805088043})]",test
tol,taule,m,f,"[('l', {'f': 0.4393223524093628, 'm': 0.5606776475906372}), ('o', {'f': 0.6089033484458923, 'm': 0.3910966217517853}), ('t', {'f': 0.38914892077445984, 'm': 0.6108511090278625})]",test
uzo,houseau,m,m,"[('o', {'f': 0.43163761496543884, 'm': 0.5683624744415283}), ('z', {'f': 0.0325404517352581, 'm': 0.9674596190452576}), ('u', {'f': 0.016834525391459465, 'm': 0.9831655025482178})]",test
tiʁ,tir,m,f,"[('ʁ', {'f': 0.5142263770103455, 'm': 0.48577365279197693}), ('i', {'f': 0.7011591196060181, 'm': 0.29884088039398193}), ('t', {'f': 0.3284265697002411, 'm': 0.6715734601020813})]",test
tiʁ,tire,m,f,"[('ʁ', {'f': 0.5142263770103455, 'm': 0.48577365279197693}), ('i', {'f': 0.7011591196060181, 'm': 0.29884088039398193}), ('t', {'f': 0.3284265697002411, 'm': 0.6715734601020813})]",test
b1g,bang,f,m,"[('g', {'f': 0.5994905233383179, 'm': 0.40050947666168213}), ('1', {'f': 0.7280876040458679, 'm': 0.27191242575645447}), ('b', {'f': 0.8437652587890625, 'm': 0.1562347710132599})]",test
1kʁ,ancre,m,f,"[('ʁ', {'f': 0.5142263770103455, 'm': 0.48577365279197693}), ('k', {'f': 0.5835010409355164, 'm': 0.4164990186691284}), ('1', {'f': 0.23268179595470428, 'm': 0.7673181891441345})]",test
flu,flou,m,m,"[('u', {'f': 0.7470362782478333, 'm': 0.25296369194984436}), ('l', {'f': 0.14242835342884064, 'm': 0.8575716614723206}), ('f', {'f': 0.050413887947797775, 'm': 0.9495861530303955})]",test
njɛ,niais,m,m,"[('ɛ', {'f': 0.28189393877983093, 'm': 0.7181060910224915}), ('j', {'f': 0.011482174508273602, 'm': 0.9885178804397583}), ('n', {'f': 0.011866644024848938, 'm': 0.9881333708763123})]",test
aʁa,ara,m,m,"[('a', {'f': 0.3019506335258484, 'm': 0.6980493068695068}), ('ʁ', {'f': 0.10179253667593002, 'm': 0.898207426071167}), ('a', {'f': 0.34275922179222107, 'm': 0.6572407484054565})]",test
baʁ,bar,m,m,"[('ʁ', {'f': 0.5142263770103455, 'm': 0.48577365279197693}), ('a', {'f': 0.6709359884262085, 'm': 0.3290640115737915}), ('b', {'f': 0.22472698986530304, 'm': 0.7752729654312134})]",test
baʁ,barre,m,m,"[('ʁ', {'f': 0.5142263770103455, 'm': 0.48577365279197693}), ('a', {'f': 0.6709359884262085, 'm': 0.3290640115737915}), ('b', {'f': 0.22472698986530304, 'm': 0.7752729654312134})]",test
ʁwa,roi,m,m,"[('a', {'f': 0.3019506335258484, 'm': 0.6980493068695068}), ('w', {'f': 0.250623494386673, 'm': 0.7493765354156494}), ('ʁ', {'f': 0.19270223379135132, 'm': 0.8072977066040039})]",test
gœn,gun,f,m,"[('n', {'f': 0.5614370703697205, 'm': 0.43856292963027954}), ('œ', {'f': 0.4459659159183502, 'm': 0.5540341138839722}), ('g', {'f': 0.6015680432319641, 'm': 0.3984319269657135})]",test
ʒ1t,gent,f,f,"[('t', {'f': 0.3858436942100525, 'm': 0.6141563057899475}), ('1', {'f': 0.6580350399017334, 'm': 0.341964989900589}), ('ʒ', {'f': 0.8989512920379639, 'm': 0.10104875266551971})]",test
kid,kid,m,m,"[('d', {'f': 0.4621168375015259, 'm': 0.5378832221031189}), ('i', {'f': 0.3226217031478882, 'm': 0.6773782968521118}), ('k', {'f': 0.2140294462442398, 'm': 0.7859705686569214})]",test
