Form,Predicted Gender,True Gender,Class Probabilities,Set,Run
1,m,m,"[('1', {'f': 0.172069251537323, 'm': 0.8279306888580322})]",test,1
4,m,m,"[('4', {'f': 0.39355233311653137, 'm': 0.6064476370811462})]",test,1
u,m,m,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466})]",test,1
o,m,f,"[('o', {'f': 0.6365405917167664, 'm': 0.36345937848091125})]",test,1
ɛ,m,m,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034})]",test,1
ɛ,m,f,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034})]",test,1
ʁ3,m,m,"[('3', {'f': 0.20436733961105347, 'm': 0.7956326603889465}), ('ʁ', {'f': 0.015076125040650368, 'm': 0.9849238395690918})]",test,1
vi,m,f,"[('i', {'f': 0.33074721693992615, 'm': 0.6692528128623962}), ('v', {'f': 0.4443001449108124, 'm': 0.5556998252868652})]",test,1
kø,m,f,"[('ø', {'f': 0.21323572099208832, 'm': 0.7867642641067505}), ('k', {'f': 0.023129841312766075, 'm': 0.9768701791763306})]",test,1
bi,m,m,"[('i', {'f': 0.33074721693992615, 'm': 0.6692528128623962}), ('b', {'f': 0.45031318068504333, 'm': 0.5496867299079895})]",test,1
gɛ,f,m,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034}), ('g', {'f': 0.6814331412315369, 'm': 0.3185668885707855})]",test,1
te,m,m,"[('e', {'f': 0.34938544034957886, 'm': 0.6506145596504211}), ('t', {'f': 0.16318146884441376, 'm': 0.836818516254425})]",test,1
dɛ,m,m,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034}), ('d', {'f': 0.03812514990568161, 'm': 0.9618749022483826})]",test,1
so,m,m,"[('o', {'f': 0.6365405917167664, 'm': 0.36345937848091125}), ('s', {'f': 0.29886946082115173, 'm': 0.7011305689811707})]",test,1
mu,f,f,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466}), ('m', {'f': 0.6778320670127869, 'm': 0.3221679627895355})]",test,1
2t,f,f,"[('t', {'f': 0.6553521156311035, 'm': 0.3446478545665741}), ('2', {'f': 0.7171199917793274, 'm': 0.2828800082206726})]",test,1
iv,f,f,"[('v', {'f': 0.7047009468078613, 'm': 0.2952989935874939}), ('i', {'f': 0.7490964531898499, 'm': 0.25090354681015015})]",test,1
uʃ,f,f,"[('ʃ', {'f': 0.5961825251579285, 'm': 0.40381744503974915}), ('u', {'f': 0.9129215478897095, 'm': 0.08707845956087112})]",test,1
ɔm,m,m,"[('m', {'f': 0.8211426138877869, 'm': 0.17885740101337433}), ('ɔ', {'f': 0.4630817174911499, 'm': 0.5369182825088501})]",test,1
d3,m,m,"[('3', {'f': 0.20436733961105347, 'm': 0.7956326603889465}), ('d', {'f': 0.006784460972994566, 'm': 0.9932155609130859})]",test,1
ka,m,m,"[('a', {'f': 0.37908217310905457, 'm': 0.620917797088623}), ('k', {'f': 0.38416483998298645, 'm': 0.6158351302146912})]",test,1
pi,m,f,"[('i', {'f': 0.33074721693992615, 'm': 0.6692528128623962}), ('p', {'f': 0.42258039116859436, 'm': 0.5774195194244385})]",test,1
ɲ2,m,m,"[('2', {'f': 0.36410945653915405, 'm': 0.635890543460846}), ('ɲ', {'f': 0.007455434184521437, 'm': 0.9925446510314941})]",test,1
aʁ,m,m,"[('ʁ', {'f': 0.4638349711894989, 'm': 0.5361650586128235}), ('a', {'f': 0.35718557238578796, 'm': 0.6428143978118896})]",test,1
ba,m,m,"[('a', {'f': 0.37908217310905457, 'm': 0.620917797088623}), ('b', {'f': 0.17668572068214417, 'm': 0.8233143091201782})]",test,1
lo,m,m,"[('o', {'f': 0.6365405917167664, 'm': 0.36345937848091125}), ('l', {'f': 0.11213257163763046, 'm': 0.8878674507141113})]",test,1
