Form,Alt Form,Predicted Gender,True Gender,Class Probabilities,Set
4,hun,m,m,"[('4', {'f': 0.005480647087097168, 'm': 0.9945194125175476})]",test
1,an,m,m,"[('1', {'f': 0.00016485655214637518, 'm': 0.9998351335525513})]",test
u,houx,m,m,"[('u', {'f': 0.07220624387264252, 'm': 0.9277937412261963})]",test
o,eau,m,f,"[('o', {'f': 0.017907999455928802, 'm': 0.982092022895813})]",test
ɛ,ais,m,f,"[('ɛ', {'f': 0.014696251600980759, 'm': 0.9853037595748901})]",test
ɛ,haie,m,f,"[('ɛ', {'f': 0.014696251600980759, 'm': 0.9853037595748901})]",test
ɛ,ais,m,m,"[('ɛ', {'f': 0.014696251600980759, 'm': 0.9853037595748901})]",test
ɛ,haie,m,m,"[('ɛ', {'f': 0.014696251600980759, 'm': 0.9853037595748901})]",test
øv,,m,m,"[('v', {'f': 0.9786179065704346, 'm': 0.021382072940468788}), ('ø', {'f': 0.003387982724234462, 'm': 0.996612012386322})]",test
ju,,f,f,"[('u', {'f': 0.07220624387264252, 'm': 0.9277937412261963}), ('j', {'f': 0.894559919834137, 'm': 0.10543999820947647})]",test
ki,chi,f,m,"[('i', {'f': 0.5238444209098816, 'm': 0.476155549287796}), ('k', {'f': 0.7160071730613708, 'm': 0.28399282693862915})]",test
ɛʁ,,m,m,"[('ʁ', {'f': 0.11478514224290848, 'm': 0.8852149248123169}), ('ɛ', {'f': 0.4649912416934967, 'm': 0.5350087285041809})]",test
ɛb,,m,f,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('ɛ', {'f': 0.007823050953447819, 'm': 0.9921769499778748})]",test
up,,m,m,"[('p', {'f': 0.5187153220176697, 'm': 0.4812847077846527}), ('u', {'f': 0.10815247148275375, 'm': 0.8918474912643433})]",test
sa,,f,m,"[('a', {'f': 0.42641595005989075, 'm': 0.5735840201377869}), ('s', {'f': 0.7941641211509705, 'm': 0.20583584904670715})]",test
ik,hic,m,m,"[('k', {'f': 0.24361148476600647, 'm': 0.7563886046409607}), ('i', {'f': 0.02151333913207054, 'm': 0.9784866571426392})]",test
3ʁ,,m,m,"[('ʁ', {'f': 0.11478514224290848, 'm': 0.8852149248123169}), ('3', {'f': 0.011297391727566719, 'm': 0.988702654838562})]",test
os,,m,m,"[('s', {'f': 0.2759721279144287, 'm': 0.7240278720855713}), ('o', {'f': 0.0027156516443938017, 'm': 0.9972842931747437})]",test
ɛg,,m,m,"[('g', {'f': 0.3424699008464813, 'm': 0.6575301289558411}), ('ɛ', {'f': 0.0013865734217688441, 'm': 0.9986133575439453})]",test
ta,,m,f,"[('a', {'f': 0.42641595005989075, 'm': 0.5735840201377869}), ('t', {'f': 0.36684975028038025, 'm': 0.6331502795219421})]",test
fœ,,m,m,"[('œ', {'f': 0.682784378528595, 'm': 0.3172157108783722}), ('f', {'f': 0.01186080276966095, 'm': 0.9881392121315002})]",test
op,,m,m,"[('p', {'f': 0.5187153220176697, 'm': 0.4812847077846527}), ('o', {'f': 0.09920624643564224, 'm': 0.9007936716079712})]",test
ut,,m,m,"[('t', {'f': 0.5673497915267944, 'm': 0.43265023827552795}), ('u', {'f': 0.12703755497932434, 'm': 0.872962474822998})]",test
ɛk,,m,m,"[('k', {'f': 0.24361148476600647, 'm': 0.7563886046409607}), ('ɛ', {'f': 0.002542906440794468, 'm': 0.9974570870399475})]",test
ɛm,,m,f,"[('m', {'f': 0.1066918671131134, 'm': 0.8933081030845642}), ('ɛ', {'f': 0.00954040139913559, 'm': 0.9904595613479614})]",test
iɥ,,m,m,"[('ɥ', {'f': 0.21170832216739655, 'm': 0.7882916331291199}), ('i', {'f': 0.1757102757692337, 'm': 0.8242897391319275})]",test
3d,,m,m,"[('d', {'f': 0.5698218941688538, 'm': 0.43017813563346863}), ('3', {'f': 0.018189359456300735, 'm': 0.9818106889724731})]",test
zɛ,,f,f,"[('ɛ', {'f': 0.014696251600980759, 'm': 0.9853037595748901}), ('z', {'f': 0.9937421679496765, 'm': 0.006257878616452217})]",test
p1,,f,f,"[('1', {'f': 0.00016485655214637518, 'm': 0.9998351335525513}), ('p', {'f': 0.5101121664047241, 'm': 0.48988786339759827})]",test
uʁ,,m,f,"[('ʁ', {'f': 0.11478514224290848, 'm': 0.8852149248123169}), ('u', {'f': 0.08584225177764893, 'm': 0.9141578078269958})]",test
py,,f,f,"[('y', {'f': 0.10816774517297745, 'm': 0.8918322324752808}), ('p', {'f': 0.617134153842926, 'm': 0.38286587595939636})]",test
iʁ,ire,f,m,"[('ʁ', {'f': 0.11478514224290848, 'm': 0.8852149248123169}), ('i', {'f': 0.9856003522872925, 'm': 0.014399643056094646})]",test
ʃu,chou,f,f,"[('u', {'f': 0.07220624387264252, 'm': 0.9277937412261963}), ('ʃ', {'f': 0.7628793716430664, 'm': 0.23712065815925598})]",test
nɛ,,f,f,"[('ɛ', {'f': 0.014696251600980759, 'm': 0.9853037595748901}), ('n', {'f': 0.9175976514816284, 'm': 0.08240237087011337})]",test
ub,,m,m,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('u', {'f': 0.13298018276691437, 'm': 0.8670198917388916})]",test
2t,honte,m,m,"[('t', {'f': 0.5673497915267944, 'm': 0.43265023827552795}), ('2', {'f': 0.0018217170145362616, 'm': 0.998178243637085})]",test
ʁi,ris,m,f,"[('i', {'f': 0.5238444209098816, 'm': 0.476155549287796}), ('ʁ', {'f': 0.0932261273264885, 'm': 0.9067739248275757})]",test
ud,,m,m,"[('d', {'f': 0.5698218941688538, 'm': 0.43017813563346863}), ('u', {'f': 0.31435197591781616, 'm': 0.6856480240821838})]",test
ab,,f,m,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('a', {'f': 0.5742571949958801, 'm': 0.42574286460876465})]",test
ib,,m,m,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('i', {'f': 0.0840853676199913, 'm': 0.9159145951271057})]",test
z2,,f,m,"[('2', {'f': 0.006739420350641012, 'm': 0.9932605624198914}), ('z', {'f': 0.998814582824707, 'm': 0.0011853870237246156})]",test
jœ,,m,m,"[('œ', {'f': 0.682784378528595, 'm': 0.3172157108783722}), ('j', {'f': 0.016292493790388107, 'm': 0.9837074875831604})]",test
uʃ,ouche,m,m,"[('ʃ', {'f': 0.7796733975410461, 'm': 0.22032663226127625}), ('u', {'f': 0.0003201526706106961, 'm': 0.9996799230575562})]",test
øk,,m,f,"[('k', {'f': 0.24361148476600647, 'm': 0.7563886046409607}), ('ø', {'f': 0.0008196828421205282, 'm': 0.999180257320404})]",test
ja,,f,m,"[('a', {'f': 0.42641595005989075, 'm': 0.5735840201377869}), ('j', {'f': 0.7144591808319092, 'm': 0.28554078936576843})]",test
2s,,m,m,"[('s', {'f': 0.2759721279144287, 'm': 0.7240278720855713}), ('2', {'f': 0.048552099615335464, 'm': 0.9514479041099548})]",test
ol,,m,m,"[('l', {'f': 0.3796626329421997, 'm': 0.6203374266624451}), ('o', {'f': 0.012302067130804062, 'm': 0.9876978993415833})]",test
ɛd,,m,m,"[('d', {'f': 0.5698218941688538, 'm': 0.43017813563346863}), ('ɛ', {'f': 0.013117616064846516, 'm': 0.9868823885917664})]",test
øl,,m,m,"[('l', {'f': 0.3796626329421997, 'm': 0.6203374266624451}), ('ø', {'f': 0.0011734281433746219, 'm': 0.9988265633583069})]",test
ɛʃ,,m,m,"[('ʃ', {'f': 0.7796733975410461, 'm': 0.22032663226127625}), ('ɛ', {'f': 6.939354352653027e-05, 'm': 0.9999306201934814})]",test
uʒ,,m,f,"[('ʒ', {'f': 0.08207172155380249, 'm': 0.9179282784461975}), ('u', {'f': 0.24390725791454315, 'm': 0.7560926675796509})]",test
t2,thon,m,f,"[('2', {'f': 0.006739420350641012, 'm': 0.9932605624198914}), ('t', {'f': 0.4979590177536011, 'm': 0.5020409822463989})]",test
mO,,m,m,"[('O', {'f': 0.06836339086294174, 'm': 0.9316366314888}), ('m', {'f': 0.021780772134661674, 'm': 0.9782191514968872})]",test
ʁa,,m,m,"[('a', {'f': 0.42641595005989075, 'm': 0.5735840201377869}), ('ʁ', {'f': 0.0029112868942320347, 'm': 0.9970887303352356})]",test
um,,m,f,"[('m', {'f': 0.1066918671131134, 'm': 0.8933081030845642}), ('u', {'f': 0.05311459302902222, 'm': 0.946885347366333})]",test
3v,,m,m,"[('v', {'f': 0.9786179065704346, 'm': 0.021382072940468788}), ('3', {'f': 0.006520858965814114, 'm': 0.9934791326522827})]",test
um,,m,m,"[('m', {'f': 0.1066918671131134, 'm': 0.8933081030845642}), ('u', {'f': 0.05311459302902222, 'm': 0.946885347366333})]",test
yʒ,,m,m,"[('ʒ', {'f': 0.08207172155380249, 'm': 0.9179282784461975}), ('y', {'f': 0.033221449702978134, 'm': 0.966778576374054})]",test
2p,,m,m,"[('p', {'f': 0.5187153220176697, 'm': 0.4812847077846527}), ('2', {'f': 0.0009681751253083348, 'm': 0.9990317821502686})]",test
vi,vie,f,f,"[('i', {'f': 0.5238444209098816, 'm': 0.476155549287796}), ('v', {'f': 0.9980194568634033, 'm': 0.001980528002604842})]",test
2ɲ,,m,m,"[('ɲ', {'f': 0.936177670955658, 'm': 0.06382229179143906}), ('2', {'f': 0.08541949093341827, 'm': 0.9145804643630981})]",test
iv,ive,f,f,"[('v', {'f': 0.9786179065704346, 'm': 0.021382072940468788}), ('i', {'f': 0.534735381603241, 'm': 0.46526455879211426})]",test
ip,,f,f,"[('p', {'f': 0.5187153220176697, 'm': 0.4812847077846527}), ('i', {'f': 0.558650553226471, 'm': 0.4413495361804962})]",test
et,,f,m,"[('t', {'f': 0.5673497915267944, 'm': 0.43265023827552795}), ('e', {'f': 0.9787061810493469, 'm': 0.021293880417943})]",test
mo,,m,m,"[('o', {'f': 0.017907999455928802, 'm': 0.982092022895813}), ('m', {'f': 0.025824686512351036, 'm': 0.9741753339767456})]",test
ak,,m,m,"[('k', {'f': 0.24361148476600647, 'm': 0.7563886046409607}), ('a', {'f': 0.35474643111228943, 'm': 0.6452535390853882})]",test
yʁ,,m,f,"[('ʁ', {'f': 0.11478514224290848, 'm': 0.8852149248123169}), ('y', {'f': 0.33927807211875916, 'm': 0.6607219576835632})]",test
mɔ,,m,m,"[('ɔ', {'f': 0.20290933549404144, 'm': 0.7970907092094421}), ('m', {'f': 0.024623574689030647, 'm': 0.9753764271736145})]",test
3b,,m,m,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('3', {'f': 0.0016566930571570992, 'm': 0.9983433485031128})]",test
ʒug,,m,f,"[('g', {'f': 0.3424699008464813, 'm': 0.6575301289558411}), ('u', {'f': 0.005261333659291267, 'm': 0.9947386384010315}), ('ʒ', {'f': 0.028554698452353477, 'm': 0.9714453220367432})]",test
apa,appât,f,m,"[('a', {'f': 0.42641595005989075, 'm': 0.5735840201377869}), ('p', {'f': 0.6201623678207397, 'm': 0.37983763217926025}), ('a', {'f': 0.5124291777610779, 'm': 0.4875708520412445})]",test
lb1,,m,m,"[('1', {'f': 0.00016485655214637518, 'm': 0.9998351335525513}), ('b', {'f': 0.8944159150123596, 'm': 0.10558411478996277}), ('l', {'f': 0.35770344734191895, 'm': 0.6422966122627258})]",test
ʁɛl,,f,m,"[('l', {'f': 0.3796626329421997, 'm': 0.6203374266624451}), ('ɛ', {'f': 0.003240024670958519, 'm': 0.9967599511146545}), ('ʁ', {'f': 0.7682676911354065, 'm': 0.2317323088645935})]",test
kas,,m,m,"[('s', {'f': 0.2759721279144287, 'm': 0.7240278720855713}), ('a', {'f': 0.3915024697780609, 'm': 0.6084975004196167}), ('k', {'f': 0.14251652359962463, 'm': 0.857483446598053})]",test
g1m,,m,f,"[('m', {'f': 0.1066918671131134, 'm': 0.8933081030845642}), ('1', {'f': 0.0007205536821857095, 'm': 0.9992794394493103}), ('g', {'f': 0.1604495495557785, 'm': 0.8395504951477051})]",test
3ʁf,,m,m,"[('f', {'f': 0.09348046034574509, 'm': 0.9065195322036743}), ('ʁ', {'f': 0.0728083923459053, 'm': 0.9271916747093201}), ('3', {'f': 0.012074574828147888, 'm': 0.9879254102706909})]",test
ʁal,,m,m,"[('l', {'f': 0.3796626329421997, 'm': 0.6203374266624451}), ('a', {'f': 0.43996214866638184, 'm': 0.5600378513336182}), ('ʁ', {'f': 0.003083190880715847, 'm': 0.9969167709350586})]",test
kys,,m,m,"[('s', {'f': 0.2759721279144287, 'm': 0.7240278720855713}), ('y', {'f': 0.06029720604419708, 'm': 0.9397027492523193}), ('k', {'f': 0.12486599385738373, 'm': 0.8751340508460999})]",test
elk,,f,f,"[('k', {'f': 0.24361148476600647, 'm': 0.7563886046409607}), ('l', {'f': 0.05204278975725174, 'm': 0.9479572176933289}), ('e', {'f': 0.571591317653656, 'm': 0.4284087121486664})]",test
nɛb,,f,f,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('ɛ', {'f': 0.007823050953447819, 'm': 0.9921769499778748}), ('n', {'f': 0.8995826244354248, 'm': 0.10041731595993042})]",test
3jʃ,,m,m,"[('ʃ', {'f': 0.7796733975410461, 'm': 0.22032663226127625}), ('j', {'f': 0.05228725075721741, 'm': 0.9477127194404602}), ('3', {'f': 0.00010035459126811475, 'm': 0.9998996257781982})]",test
luf,,f,f,"[('f', {'f': 0.09348046034574509, 'm': 0.9065195322036743}), ('u', {'f': 0.024203242734074593, 'm': 0.9757968187332153}), ('l', {'f': 0.5739879012107849, 'm': 0.4260120987892151})]",test
oɥd,,m,m,"[('d', {'f': 0.5698218941688538, 'm': 0.43017813563346863}), ('ɥ', {'f': 0.31550222635269165, 'm': 0.6844977736473083}), ('o', {'f': 0.06903474032878876, 'm': 0.9309653043746948})]",test
kaʒ,cage,m,m,"[('ʒ', {'f': 0.08207172155380249, 'm': 0.9179282784461975}), ('a', {'f': 0.3153667449951172, 'm': 0.6846332550048828}), ('k', {'f': 0.13017070293426514, 'm': 0.8698293566703796})]",test
s1ʃ,,f,f,"[('ʃ', {'f': 0.7796733975410461, 'm': 0.22032663226127625}), ('1', {'f': 2.230359086752287e-06, 'm': 0.9999977350234985}), ('s', {'f': 0.9707018136978149, 'm': 0.02929817885160446})]",test
mub,,m,m,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('u', {'f': 0.13298018276691437, 'm': 0.8670198917388916}), ('m', {'f': 0.03876813128590584, 'm': 0.9612318873405457})]",test
ʁub,,m,m,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('u', {'f': 0.13298018276691437, 'm': 0.8670198917388916}), ('ʁ', {'f': 0.0012989918468520045, 'm': 0.9987009763717651})]",test
mʁa,,f,f,"[('a', {'f': 0.42641595005989075, 'm': 0.5735840201377869}), ('ʁ', {'f': 0.0029112868942320347, 'm': 0.9970887303352356}), ('m', {'f': 0.5245755910873413, 'm': 0.4754243493080139})]",test
nɔk,,m,f,"[('k', {'f': 0.24361148476600647, 'm': 0.7563886046409607}), ('ɔ', {'f': 0.007866338826715946, 'm': 0.992133617401123}), ('n', {'f': 0.18068140745162964, 'm': 0.8193185925483704})]",test
nɔf,,m,m,"[('f', {'f': 0.09348046034574509, 'm': 0.9065195322036743}), ('ɔ', {'f': 0.006857549771666527, 'm': 0.9931424856185913}), ('n', {'f': 0.009278773330152035, 'm': 0.9907212257385254})]",test
bɔm,,m,f,"[('m', {'f': 0.1066918671131134, 'm': 0.8933081030845642}), ('ɔ', {'f': 0.43555280566215515, 'm': 0.5644472241401672}), ('b', {'f': 0.11060764640569687, 'm': 0.8893923163414001})]",test
